Model,City,Year,BodyType,milage range,Stroke,Mileage,Price,price in word
Honda CD 70,Lahore,2021,Standard,between 1 to 20000,4 Stroke,14707,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,26,215000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,5500,198000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,5727,198000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2019,Standard,between 1 to 20000,4 Stroke,10000,165000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Karachi,2020,Standard,between 1 to 20000,4 Stroke,18400,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2017,Standard,between 1 to 20000,4 Stroke,12345,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Karachi,2023,Standard,between 1 to 20000,4 Stroke,2,118000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2013,Standard,between 40001 to 60000,4 Stroke,45000,95000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2015,Standard,between 1 to 20000,4 Stroke,1,105000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,3000,145000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,12000,170000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,14440,137000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,8500,114000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2020,Standard,between 1 to 20000,4 Stroke,14526,92000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2020,Standard,between 200001 to 40000,4 Stroke,34000,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 200001 to 40000,4 Stroke,25630,192000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,6500,203000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,6000,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,2200,195000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2005,Standard,between 1 to 20000,4 Stroke,258,52000,From Thirty Thousand To Sixty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,6000,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,4000,145000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,3350,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,7000,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,7000,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,7500,179000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,3700,195000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2021,Standard,between 200001 to 40000,4 Stroke,21000,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2018,Standard,between 40001 to 60000,4 Stroke,60000,150000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,5000,150000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,12345,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,13000,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,500,265000,From Two Lac Fourty Thousand To  Two Lac Seventy Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,9985,170000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2019,Standard,between 200001 to 40000,4 Stroke,21000,145000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2007,Standard,between 200001 to 40000,4 Stroke,30000,185000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Rawalpindi,2020,Standard,between 1 to 20000,4 Stroke,8800,75500,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2019,Standard,between 1 to 20000,4 Stroke,19000,125000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Karachi,1997,Standard,between 1 to 20000,4 Stroke,500,149000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,7000,137000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,220,205000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Rawalpindi,2021,Standard,between 40001 to 60000,4 Stroke,123456,115000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Karachi,2018,Standard,between 1 to 20000,4 Stroke,10000,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2017,Standard,between 1 to 20000,4 Stroke,18000,125000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2021,Standard,between 200001 to 40000,4 Stroke,35000,170000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Karachi,1981,Standard,between 200001 to 40000,4 Stroke,25000,50000,From Thirty Thousand To Sixty Thousand
Honda CD 70,Rawalpindi,2019,Standard,between 40001 to 60000,4 Stroke,45000,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2008,Standard,between 1 to 20000,4 Stroke,786,55000,From Thirty Thousand To Sixty Thousand
Honda CD 70,Lahore,2020,Standard,between 40001 to 60000,4 Stroke,49547,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Karachi,2021,Standard,between 200001 to 40000,4 Stroke,34000,230000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CD 70,Karachi,2023,Standard,between 1 to 20000,4 Stroke,12000,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2005,Standard,between 1 to 20000,4 Stroke,12345,95000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,17000,185000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2016,Standard,between 1 to 20000,4 Stroke,20000,119000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Karachi,2020,Standard,between 1 to 20000,4 Stroke,25,175000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,2500,230000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Rawalpindi,2014,Standard,between 40001 to 60000,4 Stroke,60000,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,15877,205000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,12000,170000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,1031,215000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Lahore,2021,Standard,between 200001 to 40000,4 Stroke,22000,165000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2020,Standard,between 1 to 20000,4 Stroke,3700,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 200001 to 40000,4 Stroke,20500,184000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2015,Standard,between 1 to 20000,4 Stroke,1,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,6800,185000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2005,Standard,between 1 to 20000,4 Stroke,500,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2007,Standard,between 1 to 20000,4 Stroke,100,75000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2021,Standard,between 200001 to 40000,4 Stroke,32000,165000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Rawalpindi,2012,Standard,between 40001 to 60000,4 Stroke,77000,70000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Rawalpindi,2019,Standard,between 1 to 20000,4 Stroke,9000,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,120,220000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Lahore,2019,Standard,between 200001 to 40000,4 Stroke,25000,125000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,4100,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Lahore,2020,Standard,between 200001 to 40000,4 Stroke,35000,95000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Rawalpindi,2017,Standard,between 200001 to 40000,4 Stroke,25000,135000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,7470,175000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Karachi,2021,Standard,between 1 to 20000,4 Stroke,5000,155000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2013,Standard,between 200001 to 40000,4 Stroke,40000,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2019,Standard,between 200001 to 40000,4 Stroke,30000,90000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,20000,195000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2012,Standard,between 200001 to 40000,4 Stroke,25000,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,5500,185000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2020,Standard,between 1 to 20000,4 Stroke,12000,170000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2017,Standard,between 1 to 20000,4 Stroke,10700,150000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2015,Standard,between 40001 to 60000,4 Stroke,100000,88000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Karachi,2021,Standard,between 200001 to 40000,4 Stroke,22000,175000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,8000,75000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,6500,135000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2021,Standard,between 200001 to 40000,4 Stroke,32000,178000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,3000,205000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2016,Standard,between 40001 to 60000,4 Stroke,83000,125000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2011,Standard,between 40001 to 60000,4 Stroke,45000,52000,From Thirty Thousand To Sixty Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,123,165000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2020,Standard,between 1 to 20000,4 Stroke,16750,170000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Karachi,2019,Standard,between 1 to 20000,4 Stroke,9000,165000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Karachi,2023,Standard,between 1 to 20000,4 Stroke,4000,90000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Karachi,1978,Standard,between 1 to 20000,4 Stroke,1111,75000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Karachi,2020,Standard,between 1 to 20000,4 Stroke,17000,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2019,Standard,between 200001 to 40000,4 Stroke,25000,145000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Lahore,2020,Standard,between 200001 to 40000,4 Stroke,28000,99999,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,7500,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2016,Standard,between 40001 to 60000,4 Stroke,47958,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2014,Standard,between 200001 to 40000,4 Stroke,25000,95000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Rawalpindi,2019,Standard,between 1 to 20000,4 Stroke,18000,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2020,Standard,between 1 to 20000,4 Stroke,11000,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,1500,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2010,Standard,between 40001 to 60000,4 Stroke,100000,90000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Karachi,2023,Standard,between 1 to 20000,4 Stroke,3500,173000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Lahore,2020,Standard,between 1 to 20000,4 Stroke,15415,100000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Karachi,2020,Standard,between 200001 to 40000,4 Stroke,35000,150000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2019,Standard,between 40001 to 60000,4 Stroke,55000,155000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2007,Standard,between 40001 to 60000,4 Stroke,50000,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2005,Standard,between 40001 to 60000,4 Stroke,52680,45000,From Thirty Thousand To Sixty Thousand
Honda CD 70,Lahore,2016,Standard,between 1 to 20000,4 Stroke,48,72000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,3000,138000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Karachi,2023,Standard,between 1 to 20000,4 Stroke,3800,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2013,Standard,between 1 to 20000,4 Stroke,3000,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2019,Standard,between 200001 to 40000,4 Stroke,27000,155000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,31,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2023,Standard,between 1 to 20000,4 Stroke,800,225000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Lahore,2017,Standard,between 1 to 20000,4 Stroke,18000,97500,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Karachi,2013,Standard,between 1 to 20000,4 Stroke,1,105000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2016,Standard,between 200001 to 40000,4 Stroke,40000,80000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Karachi,2020,Standard,between 1 to 20000,4 Stroke,11604,90000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Lahore,2021,Standard,between 200001 to 40000,4 Stroke,29000,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,7500,183000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,18561,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Karachi,2021,Standard,between 200001 to 40000,4 Stroke,40000,81000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,3100,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2019,Standard,between 40001 to 60000,4 Stroke,150000,132000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Karachi,2019,Standard,between 200001 to 40000,4 Stroke,20550,150000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Rawalpindi,2016,Standard,between 200001 to 40000,4 Stroke,35000,93000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2017,Standard,between 200001 to 40000,4 Stroke,37000,125000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Lahore,2017,Standard,between 1 to 20000,4 Stroke,6200,87000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,8000,175000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Lahore,2021,Standard,between 1 to 20000,4 Stroke,8000,105000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,5980,138000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,9300,183000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,5900,165000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,7000,130000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,8000,145000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2015,Standard,between 40001 to 60000,4 Stroke,92000,130000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Rawalpindi,2015,Standard,between 1 to 20000,4 Stroke,13208,90000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Karachi,2019,Standard,between 200001 to 40000,4 Stroke,40000,85000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Lahore,2018,Standard,between 40001 to 60000,4 Stroke,65000,78000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,6500,250000,From Two Lac Fourty Thousand To  Two Lac Seventy Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,7000,202000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Karachi,2021,Standard,between 1 to 20000,4 Stroke,20000,115000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,16000,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,18400,158000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Karachi,2019,Standard,between 1 to 20000,4 Stroke,9000,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2014,Standard,between 40001 to 60000,4 Stroke,65000,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2014,Standard,between 200001 to 40000,4 Stroke,30000,114000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2013,Standard,between 40001 to 60000,4 Stroke,95000,78000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,4825,192000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,2800,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,4000,115000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2010,Standard,between 1 to 20000,4 Stroke,100,70000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,6700,150000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,470,220000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CD 70,Lahore,2019,Standard,between 200001 to 40000,4 Stroke,33345,93000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Karachi,2014,Standard,between 40001 to 60000,4 Stroke,123321,59500,From Thirty Thousand To Sixty Thousand
Honda CG 125,Rawalpindi,2003,Standard,between 1 to 20000,4 Stroke,4385,45000,From Thirty Thousand To Sixty Thousand
Honda CG 125,Karachi,2023,Standard,between 1 to 20000,4 Stroke,7000,289000,From Two Lac Seventy Thousand To  Three Lac 
Honda CD 70,Karachi,1979,Standard,between 1 to 20000,4 Stroke,74,115000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,6800,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Lahore,2020,Standard,between 200001 to 40000,4 Stroke,29000,108000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Karachi,2020,Standard,between 1 to 20000,4 Stroke,5000,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Karachi,2021,Standard,between 1 to 20000,4 Stroke,9457,105000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Karachi,2023,Standard,between 1 to 20000,4 Stroke,2500,225000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Lahore,2014,Standard,between 200001 to 40000,4 Stroke,28600,80000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,8800,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
